,transaction_date,transaction_hour,location_state,location_city,rewards_number,rewards_member,num_of_items,coupon_flag,discount_amt,order_amt
63,2020-08-03,8:28 PM,Georgia,Macon,094-937-70,True,29,,,$221.34
64,2020-09-15,7:56 PM,South Carolina,Charleston,,,23,,,$68.61
65,2020-10-05,4:36 PM,Georgia,Atlanta,344-249-51,False,31,Yes,0.22,$108.31
66,2020-09-11,5:41 PM,Florida,Tampa,,,17,,,$49.38
67,2020-06-04,3:08 PM,Georgia,Duluth,700-875-53,False,14,,,$108.87
68,2020-09-13,4:27 PM,Florida,Fort Myers,312-522-10,True,17,Yes,0.16,$159.05
69,2019-12-20,6:45 PM,Florida,Tampa,,,17,,,$159.05
70,2019-12-28,3:00 PM,Florida,Pensacola,987-511-08,False,18,,,$207.77
71,2020-07-06,3:01 PM,South Carolina,Florence,,,6,,,$121.02
72,2019-10-13,2:30 PM,Florida,Orlando,,,15,,,$179.23
73,2020-04-26,2:06 PM,Florida,Vero Beach,511-884-50,True,18,,,$35.64
74,2019-11-06,8:50 PM,Georgia,Columbus,028-748-88,False,31,,,$116.40
75,2020-07-11,4:43 PM,Mississippi,Biloxi,857-998-79,False,16,,,$47.38
76,2020-10-10,7:43 PM,South Carolina,Beaufort,897-996-33,True,34,,,$109.44
77,2020-03-08,8:55 PM,Florida,Largo,359-287-34,False,3,,,$114.89
78,2019-10-13,12:29 PM,Florida,Clearwater,,,12,,,$155.73
79,2020-06-23,7:56 PM,Alabama,Birmingham,,,26,,,$62.53
80,2020-06-24,12:20 PM,Mississippi,Hattiesburg,259-970-14,True,34,Yes,0.1,$67.67
81,2020-04-20,6:34 PM,Florida,Tampa,499-301-97,False,29,Yes,0.35,$121.27
82,2019-10-25,7:34 PM,Alabama,Mobile,102-309-75,True,13,,,$206.47
83,2019-11-07,3:50 PM,Florida,Saint Petersburg,,,9,,,$71.87
84,2020-08-06,2:30 PM,Florida,Fort Lauderdale,684-242-93,True,3,,,$227.93
85,2020-06-02,11:11 AM,Florida,Pensacola,,,4,Yes,0.33,$113.67
86,2020-02-29,5:17 PM,South Carolina,Spartanburg,,,13,Yes,0.14,$161.12
87,2020-08-12,8:23 PM,South Carolina,Columbia,,,34,,,$181.65
88,2020-02-03,5:22 PM,Florida,Boca Raton,076-260-99,False,34,,,$229.54
89,2020-06-19,11:16 AM,Florida,Jacksonville,098-716-90,True,11,Yes,0.17,$142.86
90,2020-10-30,7:04 PM,Florida,Tampa,270-438-20,True,25,Yes,0.35,$171.06
91,2020-04-11,8:09 PM,Florida,Orlando,878-504-41,False,3,,,$144.14
92,2020-02-12,7:45 PM,Florida,Miami,,,11,,,$135.03
93,2019-12-04,2:09 PM,Florida,Miami,328-418-61,False,25,,,$88.28
94,2019-11-22,11:51 AM,Georgia,Augusta,148-837-08,False,13,,,$76.05
95,2020-08-07,8:17 PM,Alabama,Montgomery,,,12,,,$205.52
96,2020-04-19,6:08 PM,Alabama,Montgomery,,,28,,,$213.12
97,2019-10-20,8:16 PM,Alabama,Birmingham,,,26,,,$171.99
98,2020-04-02,12:31 PM,Florida,Naples,,,27,Yes,0.33,$83.59
99,2020-02-18,3:58 PM,Alabama,Birmingham,571-024-22,True,27,,,$89.12
100,2019-12-16,6:20 PM,Mississippi,Jackson,268-208-71,False,9,,,$34.65
101,2019-11-01,2:37 PM,South Carolina,Columbia,113-163-48,False,5,,,$205.17
102,2020-02-26,7:33 PM,Florida,Jacksonville,142-956-35,True,25,Yes,0.21,$65.43
103,2020-04-17,5:19 PM,Alabama,Birmingham,,,17,,,$61.92
104,2020-06-06,8:28 PM,Alabama,Tuscaloosa,816-905-07,False,18,,,$47.52
105,2020-08-07,2:01 PM,Georgia,Atlanta,835-269-44,True,31,Yes,0.28,$227.00
106,2019-11-23,1:30 PM,Georgia,Marietta,354-772-08,False,8,,,$100.25
107,2020-04-12,6:04 PM,Georgia,Columbus,072-467-89,True,33,,,$148.79
108,2019-12-04,4:58 PM,Georgia,Atlanta,670-528-80,True,18,,,$52.16
109,2019-10-23,4:43 PM,Georgia,Atlanta,,,18,,,$171.20
110,2019-11-22,7:27 PM,Georgia,Atlanta,895-938-06,True,17,,,$86.80
111,2020-09-08,12:14 PM,Florida,Orlando,,,6,Yes,0.22,$120.27
112,2019-10-05,1:48 PM,Mississippi,Hattiesburg,280-084-47,True,4,,,$41.30
113,2020-02-15,8:25 PM,Florida,Miami Beach,,,25,,,$219.30
114,2019-11-29,2:02 PM,Mississippi,Jackson,713-700-22,True,32,,,$205.77
115,2020-09-10,11:35 AM,Florida,Jacksonville,996-817-28,True,25,,,$126.11
116,2020-02-08,4:11 PM,Georgia,Atlanta,384-978-73,True,33,,,$92.26
117,2020-06-10,3:41 PM,Alabama,Mobile,,,8,,,$223.52
118,2020-07-20,7:39 PM,Florida,Panama City,,,25,,,$223.44
119,2020-04-25,11:41 AM,Alabama,Montgomery,,,21,,,$40.27
120,2020-01-29,6:09 PM,Florida,Orlando,,,23,,,$168.62
121,2020-05-11,11:27 AM,Alabama,Mobile,,,16,Yes,0.41,$191.08
122,2020-01-02,12:22 PM,Florida,Clearwater,074-018-68,True,6,,,$151.75
123,2019-10-07,8:36 PM,Florida,Fort Lauderdale,597-656-27,True,19,Yes,0.41,$154.54
124,2019-11-24,3:39 PM,Alabama,Birmingham,,,29,,,$83.59
125,2020-09-16,2:24 PM,Florida,Ocala,379-520-12,True,16,,,$145.03
126,2020-04-10,4:09 PM,Florida,Hialeah,488-705-42,False,14,,,$70.40
127,2019-11-08,3:49 PM,Florida,Gainesville,,,14,,,$137.06
128,2020-05-26,12:35 PM,Florida,Fort Myers,,,6,,,$145.73
129,2020-03-03,5:18 PM,Florida,Winter Haven,011-769-45,True,12,,,$135.22
130,2020-05-21,6:16 PM,Florida,Boca Raton,050-999-67,True,33,,,$194.03
131,2020-07-31,2:31 PM,Georgia,Columbus,,,20,,,$170.46
132,2019-10-12,3:06 PM,Georgia,Norcross,418-287-29,True,14,,,$179.33
133,2020-08-14,12:06 PM,Florida,Orlando,,,22,,,$31.32
134,2020-04-18,4:26 PM,Florida,Saint Petersburg,,,5,,,$44.52
135,2020-05-16,4:42 PM,Alabama,Mobile,725-199-48,True,6,,,$175.58
136,2020-02-24,5:05 PM,Georgia,Atlanta,301-319-83,True,26,Yes,0.4,$188.14
137,2020-09-06,4:27 PM,Mississippi,Meridian,870-069-01,True,22,,,$122.21
138,2020-04-27,12:33 PM,Alabama,Mobile,298-868-17,True,12,,,$112.14
139,2020-06-25,8:49 PM,Alabama,Birmingham,,,29,Yes,0.12,$136.91
140,2020-09-13,6:58 PM,Mississippi,Jackson,553-591-26,False,12,,,$19.13
141,2020-09-28,3:26 PM,Florida,Brooksville,013-355-70,True,9,Yes,0.16,$53.13
142,2020-08-25,1:01 PM,Florida,Jacksonville,498-338-82,False,20,Yes,0.28,$36.32
143,2020-10-23,5:20 PM,Florida,Tampa,,,10,,,$160.94
144,2019-12-08,7:43 PM,Florida,Pompano Beach,651-711-81,True,32,,,$22.56
145,2020-06-05,4:54 PM,Florida,Sarasota,,,13,,,$149.76
146,2020-07-23,5:28 PM,Florida,Miami,,,19,,,$168.31
147,2020-01-11,5:15 PM,Florida,West Palm Beach,,,21,Yes,0.42,$23.35
148,2020-03-04,3:41 PM,Florida,Miami,969-602-10,True,24,Yes,0.22,$100.87
149,2019-12-06,5:01 PM,Georgia,Atlanta,,,33,,,$155.35
150,2019-11-05,8:37 PM,Alabama,Montgomery,364-563-48,True,25,Yes,0.45,$219.23
151,2020-10-01,5:14 PM,Florida,Saint Augustine,614-544-21,True,6,Yes,0.32,$61.73
152,2020-09-18,8:07 PM,Florida,Daytona Beach,,,26,,,$20.77
153,2020-01-08,3:49 PM,Florida,Tampa,237-017-39,False,6,,,$162.66
154,2019-12-08,4:50 PM,South Carolina,Charleston,,,9,Yes,0.13,$175.70
155,2019-10-06,2:54 PM,South Carolina,Columbia,,,33,Yes,0.28,$208.01
156,2020-04-08,7:22 PM,Florida,Pensacola,867-395-61,True,6,,,$75.90
157,2020-09-15,6:25 PM,Georgia,Augusta,548-003-68,True,33,,,$159.78
158,2020-05-22,2:36 PM,Florida,Miami,,,3,,,$182.41
159,2020-03-09,4:03 PM,Florida,West Palm Beach,711-528-36,False,19,,,$150.42
160,2020-10-07,8:41 PM,Georgia,Norcross,,,12,Yes,0.46,$151.44
161,2020-09-16,12:08 PM,Florida,Hollywood,083-068-39,True,6,Yes,0.24,$228.41
162,2019-11-27,2:21 PM,Florida,Pinellas Park,967-565-57,False,27,,,$183.22
163,2020-08-03,2:03 PM,Georgia,Atlanta,147-662-01,False,34,,,$234.48
164,2019-12-18,6:32 PM,Florida,Tampa,,,18,,,$39.72
165,2020-04-07,12:09 PM,South Carolina,Spartanburg,,,4,,,$22.36
166,2020-01-21,6:49 PM,Florida,Tampa,923-059-01,True,18,Yes,0.33,$216.13
167,2019-11-17,7:08 PM,Alabama,Mobile,692-708-22,False,14,,,$151.13
168,2020-02-02,11:23 AM,Florida,Miami,348-210-82,False,16,,,$51.07
169,2020-10-15,8:00 PM,Alabama,Birmingham,,,16,,,$101.64
170,2020-01-21,8:43 PM,Alabama,Birmingham,,,5,,,$139.31
171,2020-07-17,8:17 PM,Alabama,Mobile,673-906-84,False,19,,,$70.99
172,2020-09-04,2:36 PM,Georgia,Atlanta,,,16,Yes,0.17,$91.67
173,2020-02-01,2:20 PM,Georgia,Macon,,,4,,,$224.40
174,2019-11-11,5:05 PM,Florida,Boca Raton,684-623-10,False,31,,,$25.32
175,2020-08-30,2:40 PM,Florida,Hialeah,042-260-70,True,10,,,$224.61
176,2019-11-27,8:46 PM,Florida,Miami,445-017-39,False,24,,,$61.35
177,2020-07-19,4:50 PM,Florida,Naples,613-030-51,True,8,,,$73.20
178,2019-10-15,2:06 PM,Alabama,Montgomery,514-788-87,False,8,,,$21.00
179,2019-12-30,12:36 PM,Florida,Sarasota,933-017-88,True,26,,,$188.54
180,2020-02-14,4:43 PM,Florida,Miami,366-106-84,False,25,,,$161.78
181,2020-09-30,4:45 PM,Georgia,Atlanta,178-145-74,True,23,Yes,0.27,$210.78
182,2019-12-04,12:13 PM,Alabama,Mobile,,,14,Yes,0.49,$75.42
183,2020-07-10,1:26 PM,Florida,Kissimmee,,,30,,,$149.16
184,2020-04-01,5:39 PM,Georgia,Augusta,,,11,,,$24.92
185,2020-09-11,2:05 PM,Mississippi,Jackson,,,29,Yes,0.33,$43.33
186,2019-10-08,4:12 PM,Washington,Seattle,434-502-00,True,89,,,$660.27
187,2020-01-15,4:37 PM,Florida,Miami,,,34,,,$158.59
188,2020-09-14,11:39 AM,Georgia,Macon,,,21,,,$87.77
189,2020-02-18,5:04 PM,Georgia,Atlanta,292-870-14,True,23,,,$169.92
190,2019-12-13,8:01 PM,Florida,Jacksonville,713-490-76,True,11,Yes,0.49,$139.69
191,2020-09-07,8:15 PM,Florida,Daytona Beach,480-640-50,False,9,Yes,0.34,$182.35
192,2020-01-04,4:46 PM,Alabama,Birmingham,944-847-10,True,33,,,$94.75
193,2020-01-16,2:20 PM,Alabama,Montgomery,990-413-67,False,3,,,$78.92
194,2019-11-05,5:57 PM,Florida,Pensacola,627-369-35,True,11,,,$22.64
195,2020-03-17,7:03 PM,Florida,Tallahassee,643-200-71,True,19,,,$109.12
196,2020-07-20,8:03 PM,Alabama,Birmingham,,,34,Yes,0.13,$23.75
197,2020-06-25,12:20 PM,Alabama,Birmingham,,,30,,,$202.50
198,2020-01-02,12:41 PM,Mississippi,Jackson,336-850-15,False,9,,,$88.84
199,2020-02-10,4:18 PM,Florida,Miami,,,7,,,$161.15
200,2020-01-15,12:30 PM,Florida,Hialeah,,,25,Yes,0.26,$63.79
201,2020-01-26,6:23 PM,Alabama,Birmingham,753-898-99,False,32,,,$50.88
202,2020-09-27,4:30 PM,Florida,Pensacola,599-131-95,True,22,,,$158.16
203,2019-12-20,2:05 PM,Georgia,Decatur,934-505-31,True,25,,,$41.01
204,2020-08-16,1:51 PM,Florida,Tampa,697-899-96,False,29,,,$194.51
205,2019-11-18,12:05 PM,Florida,Clearwater,,,21,Yes,0.37,$122.03
206,2019-12-24,5:06 PM,South Carolina,Florence,,,10,Yes,0.42,$171.73
207,2020-08-11,2:25 PM,Florida,Lake Worth,737-779-08,True,11,Yes,0.39,$78.44
208,2019-10-01,12:16 PM,Alabama,Birmingham,,,34,Yes,0.2,$71.79
209,2020-05-17,4:51 PM,Florida,Tampa,,,4,Yes,0.22,$46.97
210,2020-09-05,5:44 PM,Florida,Gainesville,,,7,,,$110.50
211,2020-01-04,12:34 PM,Alabama,Birmingham,556-656-19,True,20,Yes,0.43,$98.20
212,2019-10-10,7:35 PM,South Carolina,Florence,161-407-26,False,27,,,$113.74
213,2020-03-18,1:31 PM,Florida,Lakeland,410-233-12,True,10,,,$218.49
214,2019-11-07,1:15 PM,Florida,West Palm Beach,,,9,,,$165.04
215,2019-10-12,3:17 PM,Alabama,Montgomery,166-652-74,False,31,Yes,0.46,$172.80
216,2020-04-25,1:10 PM,Georgia,Savannah,516-866-46,False,30,Yes,0.47,$177.80
217,2019-12-11,12:38 PM,South Carolina,Florence,306-363-98,False,11,Yes,0.41,$132.38
218,2020-06-15,5:16 PM,Florida,Miami,408-404-89,False,3,,,$33.07
219,2020-07-28,5:07 PM,Georgia,Macon,,,27,,,$79.36
220,2020-06-15,8:58 PM,Florida,Jacksonville,261-274-89,True,19,,,$218.53
221,2020-10-21,2:58 PM,Alabama,Mobile,928-338-24,False,8,,,$203.03
222,2020-03-14,7:52 PM,Alabama,Huntsville,025-981-83,True,19,,,$99.07
223,2020-03-15,8:32 PM,Florida,Naples,,,11,,,$55.33
224,2020-10-01,12:10 PM,South Carolina,Myrtle Beach,893-747-22,True,19,,,$184.30
225,2020-10-22,4:18 PM,Florida,Lake Worth,515-892-95,False,32,Yes,0.13,$148.46
226,2020-10-09,8:51 PM,Georgia,Marietta,877-960-67,True,24,,,$139.88
227,2020-01-06,2:18 PM,Florida,Palm Bay,946-331-27,True,6,,,$202.53
228,2020-07-08,2:18 PM,Florida,Lakeland,,,11,,,$79.60
229,2020-02-18,12:06 PM,Florida,Miami,693-822-52,False,3,,,$168.88
230,2019-10-07,8:23 PM,Alabama,Birmingham,,,17,,,$192.56
231,2020-07-11,2:45 PM,Georgia,Columbus,264-446-17,False,30,Yes,0.23,$108.25
232,2020-03-15,11:07 AM,Georgia,Atlanta,728-174-18,True,5,,,$159.78
233,2020-07-15,12:55 PM,Mississippi,Jackson,,,28,,,$160.62
234,2019-10-28,6:39 PM,Alabama,Birmingham,136-763-20,True,25,,,$66.74
235,2020-08-25,5:48 PM,Georgia,Decatur,780-169-91,True,28,Yes,0.25,$91.64
236,2020-03-30,6:22 PM,Florida,Fort Myers,872-908-92,False,33,,,$25.38
237,2019-12-12,7:06 PM,Florida,Largo,701-453-55,False,3,,,$224.91
238,2019-12-03,11:43 AM,Florida,Tallahassee,894-282-78,True,34,,,$205.27
239,2020-01-12,6:11 PM,Georgia,Augusta,,,10,,,$172.17
240,2019-10-10,5:41 PM,Florida,Pompano Beach,,,4,,,$45.39
241,2019-12-14,2:55 PM,Alabama,Huntsville,,,27,Yes,0.19,$33.30
242,2020-09-19,5:42 PM,Florida,Miami,237-500-48,False,18,,,$64.80
243,2019-11-04,1:52 PM,South Carolina,Columbia,206-689-27,False,34,Yes,0.19,$92.98
244,2019-12-04,3:37 PM,Alabama,Montgomery,,,30,,,$118.69
245,2020-10-03,3:45 PM,Alabama,Montgomery,,,17,,,$180.23
246,2020-07-21,3:52 PM,Florida,Saint Petersburg,,,30,Yes,0.27,$116.08
247,2019-10-05,1:48 PM,Alabama,Birmingham,,,25,,,$176.05
248,2019-12-05,7:12 PM,Alabama,Montgomery,,,12,Yes,0.22,$63.47
249,2020-04-20,6:46 PM,Florida,Brooksville,,,15,,,$224.06
250,2020-04-25,1:45 PM,Florida,Cape Coral,253-789-51,True,12,Yes,0.33,$43.54
251,2020-09-08,6:41 PM,South Carolina,Myrtle Beach,073-007-01,True,31,,,$79.83
252,2020-09-23,4:29 PM,Florida,Jacksonville,269-284-72,False,24,,,$199.59
253,2019-10-12,2:38 PM,Florida,Jacksonville,,,21,,,$209.81
254,2020-03-20,11:42 AM,Georgia,Macon,563-323-34,True,25,,,$173.03
255,2019-12-23,4:02 PM,Georgia,Atlanta,,,10,Yes,0.24,$117.96
256,2020-10-27,5:03 PM,Georgia,Marietta,229-031-93,True,5,Yes,0.49,$117.73
257,2020-05-30,7:19 PM,Florida,Tallahassee,185-609-60,False,9,Yes,0.48,$138.55
258,2020-03-03,5:54 PM,Florida,Pompano Beach,,,15,,,$202.38
259,2020-04-12,4:38 PM,Florida,Saint Petersburg,,,25,,,$229.72
260,2020-06-26,5:49 PM,Florida,Miami,632-028-44,False,5,,,$60.99
261,2020-10-30,11:51 AM,South Carolina,Columbia,655-227-59,False,32,,,$21.70
262,2020-10-17,2:34 PM,Florida,Tampa,662-851-45,False,30,Yes,0.16,$81.69
263,2020-09-13,11:13 AM,South Carolina,Florence,,,18,Yes,0.15,$225.91
264,2020-05-01,2:20 PM,Florida,Brooksville,967-305-99,True,29,,,$227.76
265,2020-03-15,2:38 PM,Florida,Miami,391-537-94,True,28,,,$155.20
266,2019-12-19,3:51 PM,Georgia,Columbus,,,23,Yes,0.49,$143.15
267,2020-01-23,4:24 PM,Alabama,Tuscaloosa,,,8,,,$196.40
268,2020-07-03,6:42 PM,Georgia,Atlanta,,,22,,,$232.10
269,2020-10-23,3:15 PM,Alabama,Montgomery,,,28,,,$232.98
270,2020-10-29,8:02 PM,Florida,Miami,,,17,Yes,0.24,$169.72
271,2020-08-23,12:03 PM,Georgia,Albany,,,23,,,$83.95
272,2020-06-21,7:46 PM,Georgia,Lawrenceville,,,6,,,$122.37
273,2020-03-20,12:58 PM,Florida,Naples,,,22,,,$43.63
274,2020-05-23,12:49 PM,Georgia,Savannah,899-933-89,False,4,,,$79.92
275,2020-10-30,1:25 PM,Alabama,Montgomery,,,8,,,$122.28
276,2020-02-07,7:54 PM,Alabama,Birmingham,,,31,,,$117.89
277,2020-02-06,11:21 AM,Georgia,Duluth,927-588-96,True,22,,,$221.39
278,2019-12-15,4:11 PM,Florida,Miami,,,25,,,$227.30
279,2020-03-23,7:32 PM,Georgia,Atlanta,,,9,,,$154.25
280,2020-08-21,8:57 PM,Florida,Orlando,,,24,,,$149.19
281,2020-04-04,4:56 PM,Florida,Lakeland,051-662-38,False,26,,,$20.86
282,2019-10-19,3:19 PM,Florida,Naples,,,17,Yes,0.42,$191.91
283,2020-08-30,6:59 PM,Florida,Winter Haven,130-111-62,False,11,,,$132.00
284,2019-12-04,3:54 PM,California,Cupertino,499-130-00,True,84,,,$690.65
285,2020-10-07,7:58 PM,Florida,Clearwater,731-448-76,True,23,Yes,0.26,$226.98
286,2020-01-06,4:49 PM,Florida,Pensacola,824-029-09,True,16,Yes,0.27,$110.97
287,2019-12-14,11:38 AM,Florida,Tallahassee,981-684-44,True,20,,,$204.73
288,2020-08-01,2:44 PM,Alabama,Mobile,324-520-90,False,33,,,$141.82
289,2019-11-23,12:14 PM,Florida,Fort Pierce,,,7,Yes,0.48,$105.29
290,2020-04-09,1:38 PM,Georgia,Atlanta,273-297-56,True,30,,,$26.17
291,2019-12-31,2:26 PM,Florida,Fort Pierce,986-229-67,False,10,Yes,0.4,$208.89
292,2019-12-20,12:16 PM,Florida,Jacksonville,080-278-21,True,30,Yes,0.23,$94.47
293,2020-07-10,11:40 AM,Georgia,Atlanta,,,5,,,$20.19
294,2020-01-20,6:56 PM,Florida,Pensacola,544-458-40,True,26,Yes,0.12,$117.39
295,2019-11-30,7:26 PM,Georgia,Savannah,,,8,,,$68.26
296,2020-04-21,6:23 PM,Georgia,Savannah,,,23,,,$48.59
297,2020-01-17,2:00 PM,Alabama,Tuscaloosa,,,27,Yes,0.38,$212.86
298,2020-03-17,8:36 PM,Mississippi,Columbus,,,15,,,$52.80
299,2019-11-03,12:14 PM,Georgia,Atlanta,,,30,,,$131.48
300,2020-02-16,11:35 AM,Florida,Orlando,987-954-94,True,10,,,$173.65
301,2020-06-02,4:27 PM,Florida,Lakeland,692-265-74,False,28,,,$45.88
302,2020-01-04,7:26 PM,Florida,Panama City,198-978-80,True,27,,,$189.23
303,2020-05-16,5:02 PM,Florida,Miami,343-845-60,False,22,Yes,0.24,$105.49
304,2020-03-01,5:56 PM,Alabama,Birmingham,,,13,,,$47.07
305,2020-04-08,3:01 PM,Georgia,Atlanta,476-204-83,False,24,,,$163.28
306,2019-11-11,7:02 PM,South Carolina,Greenville,351-393-23,True,30,,,$74.97
307,2019-12-14,4:28 PM,Florida,Hialeah,,,5,Yes,0.11,$196.94
308,2020-01-01,2:16 PM,Alabama,Montgomery,,,33,,,$148.52
309,2020-02-04,7:40 PM,Alabama,Mobile,,,19,,,$173.13
310,2020-09-15,5:53 PM,Florida,Miami,132-916-15,False,31,Yes,0.31,$189.52
311,2020-05-06,3:12 PM,Florida,Lehigh Acres,,,13,,,$180.73
312,2020-07-13,1:23 PM,Florida,Port Charlotte,,,27,,,$142.25
313,2020-06-01,2:32 PM,Florida,Boca Raton,,,10,Yes,0.28,$84.66
314,2020-03-15,12:18 PM,Florida,Hialeah,735-030-46,False,8,,,$193.99
315,2020-07-02,5:46 PM,South Carolina,Columbia,547-003-43,False,31,,,$176.19
316,2020-10-22,5:56 PM,Mississippi,Jackson,859-185-15,True,13,,,$24.34
317,2019-12-08,11:25 AM,Georgia,Atlanta,775-283-46,True,17,Yes,0.37,$85.17
318,2020-04-27,12:59 PM,Florida,Tampa,087-638-80,True,7,,,$105.78
319,2020-01-09,2:14 PM,South Carolina,Columbia,,,26,Yes,0.46,$204.55
320,2020-08-05,5:10 PM,Alabama,Birmingham,110-366-87,False,7,,,$88.47
321,2020-02-23,12:54 PM,Alabama,Mobile,,,25,,,$222.10
322,2020-10-04,12:26 PM,Georgia,Marietta,570-912-11,False,20,,,$230.94
323,2020-06-14,6:28 PM,Florida,Saint Petersburg,996-217-82,True,28,,,$129.39
324,2020-08-23,1:00 PM,Florida,Miami,,,15,,,$157.01
325,2020-05-17,7:02 PM,Georgia,Augusta,936-589-43,True,29,,,$52.23
326,2020-01-05,5:36 PM,South Carolina,Charleston,544-107-32,True,23,,,$202.20
